name,network_os,resource,deprecates,notes,develop,type
eos_aaa,eos,aaa,,,TRUE,foundation
ios_aaa,ios,aaa,,,TRUE,foundation
iosxr_aaa,iosxr,aaa,,,TRUE,foundation
junos_aaa,junos,aaa,,,TRUE,foundation
nxos_aaa,nxos,aaa,nxos_aaa_server nxos_aaa_server_host,,TRUE,foundation
vyos_aaa,vyos,aaa,,,TRUE,foundation
nxos_acl_interfaces,nxos,acl_interfaces,nxos_acl_interface,,TRUE,policy
eos_acl_interfaces,eos,acl_interfaces,,,TRUE,policy
ios_acl_interfaces,ios,acl_interfaces,,,TRUE,policy
iosxr_acl_interfaces,iosxr,acl_interfaces,,,TRUE,policy
junos_acl_interfaces,junos,acl_interfaces,,,TRUE,policy
vyos_acl_interfaces,vyos,acl_interfaces,,,TRUE,policy
nxos_acls,nxos,acls,nxos_acl,,TRUE,policy
eos_acls,eos,acls,,,TRUE,policy
ios_acls,ios,acls,,,TRUE,policy
iosxr_acls,iosxr,acls,,,TRUE,policy
junos_acls,junos,acls,,,TRUE,policy
vyos_acls,vyos,acls,,,TRUE,policy
eos_api,eos,api,eos_eapi,,TRUE,foundation
ios_api,ios,api,,,TRUE,foundation
iosxr_api,iosxr,api,iosxr_netconf,,TRUE,foundation
junos_api,junos,api,junos_netconf,,TRUE,foundation
nxos_api,nxos,api,nxos_nxapi,,TRUE,foundation
vyos_api,vyos,api,,,TRUE,foundation
eos_banners,eos,banners,eos_banner,,TRUE,foundation
ios_banners,ios,banners,ios_banner,,TRUE,foundation
iosxr_banners,iosxr,banners,iosxr_banner,,TRUE,foundation
junos_banners,junos,banners,junos_banner,,TRUE,foundation
nxos_banners,nxos,banners,nxos_banner,,TRUE,foundation
vyos_banners,vyos,banners,vyos_banner,,TRUE,foundation
eos_bfd,eos,bfd,,,TRUE,services
ios_bfd,ios,bfd,,,TRUE,services
iosxr_bfd,iosxr,bfd,,,TRUE,services
junos_bfd,junos,bfd,,,TRUE,services
nxos_bfd,nxos,bfd,,,TRUE,services
vyos_bfd,vyos,bfd,,,TRUE,services
nxos_bgp,nxos,bgp,nxos_bgp_af nxos_bgp nxos_bgp_neighbor nxos_bgp_neighbor_af,,TRUE,topology/protocols
eos_bgp,eos,bgp,,,TRUE,topology/protocols
ios_bgp,ios,bgp,,,TRUE,topology/protocols
iosxr_bgp,iosxr,bgp,,,TRUE,topology/protocols
junos_bgp,junos,bgp,,,TRUE,topology/protocols
vyos_bgp,vyos,bgp,,,TRUE,topology/protocols
eos_dhcp,eos,dhcp,,,TRUE,services
ios_dhcp,ios,dhcp,,,TRUE,services
iosxr_dhcp,iosxr,dhcp,,,TRUE,services
junos_dhcp,junos,dhcp,,,TRUE,services
nxos_dhcp,nxos,dhcp,,,TRUE,services
vyos_dhcp,vyos,dhcp,,,TRUE,services
eos_dns,eos,dns,,configures domain-search domain-name-lookup,TRUE,foundation
ios_dns,ios,dns,,configures domain-search domain-name-lookup,TRUE,foundation
iosxr_dns,iosxr,dns,,configures domain-search domain-name-lookup,TRUE,foundation
junos_dns,junos,dns,,configures domain-search domain-name-lookup,TRUE,foundation
nxos_dns,nxos,dns,,configures domain-search domain-name-lookup,TRUE,foundation
vyos_dns,vyos,dns,,configures domain-search domain-name-lookup,TRUE,foundation
junos_file,junos,file,junos_scp,,TRUE,operations
nxos_file,nxos,file,nxos_file_copy,,TRUE,operations
eos_file,eos,file,,,TRUE,operations
ios_file,ios,file,,,TRUE,operations
iosxr_file,iosxr,file,,,TRUE,operations
vyos_file,vyos,file,,,TRUE,operations
eos_glbp,eos,glbp,,,TRUE,services
ios_glbp,ios,glbp,,,TRUE,services
iosxr_glbp,iosxr,glbp,,,TRUE,services
junos_glbp,junos,glbp,,,TRUE,services
nxos_glbp,nxos,glbp,,,TRUE,services
vyos_glbp,vyos,glbp,,,TRUE,services
eos_glbp_interfaces,eos,glbp_interfaces,,,TRUE,services
ios_glbp_interfaces,ios,glbp_interfaces,,,TRUE,services
iosxr_glbp_interfaces,iosxr,glbp_interfaces,,,TRUE,services
junos_glbp_interfaces,junos,glbp_interfaces,,,TRUE,services
nxos_glbp_interfaces,nxos,glbp_interfaces,,,TRUE,services
vyos_glbp_interfaces,vyos,glbp_interfaces,,,TRUE,services
nxos_hsrp,nxos,hsrp,nxos_hsrp,,TRUE,services
eos_hsrp,eos,hsrp,,,TRUE,services
ios_hsrp,ios,hsrp,,,TRUE,services
iosxr_hsrp,iosxr,hsrp,,,TRUE,services
junos_hsrp,junos,hsrp,,,TRUE,services
vyos_hsrp,vyos,hsrp,,,TRUE,services
vyos_hsrp_interface,vyos,hsrp_interfaces,,,TRUE,services
eos_hsrp_interfaces,eos,hsrp_interfaces,,,TRUE,services
ios_hsrp_interfaces,ios,hsrp_interfaces,,,TRUE,services
iosxr_hsrp_interfaces,iosxr,hsrp_interfaces,,,TRUE,services
junos_hsrp_interfaces,junos,hsrp_interfaces,,,TRUE,services
